X,Y,index,index_target,acres,shape_area,label,shape_leng,nbrdesc,color_2,nonres_status
-76.5667616065573,39.206291647541,1784,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5657667103825,39.206291647541,1785,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5647718142076,39.206291647541,1786,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5637769180328,39.206291647541,1787,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5627820218579,39.206291647541,1788,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5617871256831,39.206291647541,1789,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5607922295082,39.206291647541,1790,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5597973333333,39.206291647541,1791,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5588024371585,39.206291647541,1792,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5578075409836,39.206291647541,1793,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5568126448087,39.206291647541,1794,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5558177486339,39.206291647541,1795,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.554822852459,39.206291647541,1796,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5538279562842,39.206291647541,1797,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5528330601093,39.206291647541,1798,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5518381639344,39.206291647541,1799,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5508432677595,39.206291647541,1800,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5498483715847,39.206291647541,1801,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
